Time,Initial Cost,Minimized Cost,Error Rate
6.08277,1635.0,487.0,14.3192
6.08873,1499.0,474.0,11.2676
6.08945,1653.0,483.0,13.3803
6.07619,1640.0,514.0,20.6573
6.08101,1595.0,500.0,17.3709
6.07594,1703.0,506.0,18.7793
6.07150,1661.0,470.0,10.3286
6.07968,1639.0,478.0,12.2066
6.07041,1637.0,465.0,9.1549
6.08302,1699.0,445.0,4.4601
6.08362,1694.0,502.0,17.8404
6.07279,1800.0,480.0,12.6761
6.07238,1646.0,488.0,14.5540
6.08325,1670.0,446.0,4.6948
6.08014,1396.0,475.0,11.5023
6.23353,1708.0,490.0,15.0235
6.07188,1696.0,469.0,10.0939
6.09551,1600.0,482.0,13.1455
6.10875,1600.0,486.0,14.0845
6.07146,1591.0,492.0,15.4930
AVG TIME,6.0886005
MIN_COST,445.0
AVG_COST,481.6
MIN_ERR ,4.4601
AVG_ERR ,13.051639999999997
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,1.0
