Time,Initial Cost,Minimized Cost,Error Rate
8.43880,1505.0,461.0,8.2160
8.42334,1698.0,462.0,8.4507
8.40630,1654.0,460.0,7.9812
8.52490,1635.0,455.0,6.8075
8.61679,1653.0,454.0,6.5728
8.45710,1766.0,461.0,8.2160
8.66111,1686.0,447.0,4.9296
8.57760,1682.0,455.0,6.8075
8.53650,1745.0,455.0,6.8075
8.59702,1500.0,467.0,9.6244
8.56667,1637.0,464.0,8.9202
8.60549,1685.0,450.0,5.6338
8.65458,1737.0,467.0,9.6244
8.80152,1567.0,445.0,4.4601
8.64893,1752.0,458.0,7.5117
8.70077,1586.0,471.0,10.5634
8.69502,1678.0,465.0,9.1549
8.69560,1803.0,463.0,8.6854
8.69467,1787.0,461.0,8.2160
8.62594,1695.0,456.0,7.0423
AVG TIME,8.5964325
MIN_COST,445.0
AVG_COST,458.85
MIN_ERR ,4.4601
AVG_ERR ,7.711269999999999
MAX_ITERS,75
#ANTS,10
DECAY,0.4
C_LOCAL_PHER,0.4
C_HEUR,3.0
C_GREED,1.0
