Time,Initial Cost,Minimized Cost,Error Rate
34.75974,3545.0,769.0,22.2576
33.99557,3385.0,748.0,18.9189
34.25440,3184.0,805.0,27.9809
34.53896,3245.0,753.0,19.7138
34.45916,3603.0,735.0,16.8521
34.17001,3522.0,730.0,16.0572
33.81961,3333.0,745.0,18.4420
34.86538,3374.0,782.0,24.3243
34.28824,3299.0,730.0,16.0572
34.42560,3572.0,778.0,23.6884
34.72050,3440.0,740.0,17.6471
34.46281,3301.0,757.0,20.3498
34.56704,3287.0,779.0,23.8474
34.57461,3477.0,739.0,17.4881
34.71499,3463.0,756.0,20.1908
34.00020,3303.0,737.0,17.1701
34.29242,3262.0,758.0,20.5087
35.53980,3477.0,732.0,16.3752
34.01988,3326.0,760.0,20.8267
34.72520,3677.0,741.0,17.8060
AVG TIME,34.459706
MIN_COST,730.0
AVG_COST,753.7
MIN_ERR ,16.0572
AVG_ERR ,19.825114999999997
NEIGHBORHOODS   ,6
MAX_NO_IMPROV   ,40
MAX_NO_IMPROV_LS,20
