Time,Initial Cost,Minimized Cost,Error Rate
6.23066,30603.0,8097.0,7.3251
AVG TIME,6.261398999999999
MIN_COST,7924.0
AVG_COST,8318.85
MIN_ERR ,5.032
AVG_ERR ,10.265730000000001
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.24551,33029.0,8581.0,13.7405
6.24388,30313.0,7926.0,5.0585
6.24785,29881.0,8206.0,8.7699
6.25332,28528.0,8485.0,12.4680
6.23216,32284.0,8334.0,10.4665
6.27477,27348.0,7937.0,5.2043
6.31451,30206.0,9011.0,19.4401
6.23892,30432.0,8593.0,13.8996
6.25434,30424.0,8396.0,11.2883
6.29800,29826.0,8012.0,6.1985
6.24615,29041.0,8833.0,17.0807
6.29304,32451.0,8759.0,16.0999
6.25374,31125.0,8018.0,6.2780
6.28700,31414.0,8181.0,8.4385
6.28070,28092.0,8383.0,11.1160
6.26027,29840.0,8028.0,6.4105
6.25789,29751.0,8343.0,10.5858
6.26195,27709.0,8458.0,12.1102
6.24795,28047.0,7852.0,4.0777
6.25901,28230.0,8042.0,6.5961
AVG TIME,6.262548000000001
MIN_COST,7852.0
AVG_COST,8318.9
MIN_ERR ,4.0777
AVG_ERR ,10.266380000000002
MAX_ITERS,100
#ANTS,10
DECAY,0.0
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.24288,28815.0,8306.0,10.0954
6.26352,31750.0,8838.0,17.1470
6.24655,29510.0,8797.0,16.6036
6.22215,31087.0,8301.0,10.0291
6.25155,29183.0,7869.0,4.3030
6.23380,26506.0,8075.0,7.0335
6.24587,28521.0,8329.0,10.4003
6.22037,29410.0,8148.0,8.0011
6.25848,29769.0,8495.0,12.6006
6.22286,31555.0,8387.0,11.1691
6.26356,27089.0,7985.0,5.8406
6.23033,30059.0,7936.0,5.1911
6.33891,32916.0,8159.0,8.1469
6.25607,31329.0,8370.0,10.9437
6.24467,26837.0,8637.0,14.4828
6.24427,28134.0,8202.0,8.7169
6.26583,30256.0,7924.0,5.0320
6.26462,30339.0,8327.0,10.3738
6.22812,27986.0,8513.0,12.8392
6.24543,29637.0,8323.0,10.3207
AVG TIME,6.249491999999999
MIN_COST,7869.0
AVG_COST,8296.05
MIN_ERR ,4.303
AVG_ERR ,9.963519999999999
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.25928,32474.0,8424.0,11.6595
6.56207,28443.0,8497.0,12.6271
6.49095,28776.0,8214.0,8.8759
6.24823,30815.0,8510.0,12.7994
6.26727,30606.0,8648.0,14.6286
6.26511,29992.0,8484.0,12.4548
6.24911,31037.0,8731.0,15.7287
6.25899,26214.0,8207.0,8.7832
6.24505,29612.0,8059.0,6.8214
6.25525,31451.0,8360.0,10.8112
6.26981,31436.0,8385.0,11.1425
6.26299,29776.0,8675.0,14.9865
6.26414,30185.0,8717.0,15.5432
6.25559,31562.0,8654.0,14.7081
6.27647,30850.0,8119.0,7.6167
6.30146,31833.0,8261.0,9.4989
6.27524,31979.0,8388.0,11.1823
6.26182,27933.0,8343.0,10.5858
6.25351,29358.0,8472.0,12.2957
6.29463,28574.0,8270.0,9.6182
AVG TIME,6.2908485
MIN_COST,8059.0
AVG_COST,8420.9
MIN_ERR ,6.8214
AVG_ERR ,11.618385
MAX_ITERS,100
#ANTS,10
DECAY,0.2
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.26100,31350.0,8399.0,11.3281
6.26221,30042.0,8466.0,12.2162
6.25662,29212.0,8393.0,11.2486
6.33833,27904.0,8206.0,8.7699
6.28027,30885.0,8206.0,8.7699
6.28033,26889.0,8383.0,11.1160
6.24669,29015.0,8020.0,6.3045
6.23480,27618.0,7917.0,4.9392
6.25704,31920.0,8010.0,6.1719
6.30510,29712.0,8917.0,18.1942
6.31588,32455.0,8349.0,10.6654
6.25849,33236.0,8366.0,10.8907
6.27713,29815.0,8166.0,8.2397
6.26535,29441.0,8185.0,8.4916
6.29861,29819.0,8034.0,6.4901
6.27321,32399.0,8469.0,12.2560
6.24958,30615.0,8045.0,6.6359
6.28444,30503.0,8830.0,17.0410
6.26112,31430.0,8147.0,7.9879
6.26326,31315.0,8058.0,6.8082
AVG TIME,6.273473
MIN_COST,7917.0
AVG_COST,8278.3
MIN_ERR ,4.9392
AVG_ERR ,9.72825
