Time,Initial Cost,Minimized Cost,Error Rate
25.80092,172349.0,24299.0,14.1763
AVG TIME,25.899876499999998
MIN_COST,24299.0
AVG_COST,25451.0
MIN_ERR ,14.1763
AVG_ERR ,19.58932
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,3.0
Time,Initial Cost,Minimized Cost,Error Rate
26.51511,172349.0,25511.0,19.8713
25.72454,172349.0,25181.0,18.3206
25.67517,172349.0,24294.0,14.1528
25.68603,172349.0,25344.0,19.0866
25.65066,172349.0,25425.0,19.4672
25.70211,172349.0,24869.0,16.8546
25.76707,172349.0,24773.0,16.4035
25.82725,172349.0,25675.0,20.6419
25.82690,172349.0,27135.0,27.5021
25.67578,172349.0,26427.0,24.1754
25.53507,172349.0,25780.0,21.1352
25.63262,172349.0,25144.0,18.1468
25.67942,172349.0,24456.0,14.9140
25.74183,172349.0,24677.0,15.9524
25.51546,172349.0,25692.0,20.7217
25.56425,172349.0,24846.0,16.7465
25.64249,172349.0,26778.0,25.8246
25.65978,172349.0,25353.0,19.1288
25.70502,172349.0,26351.0,23.8183
25.78536,172349.0,25690.0,20.7123
AVG TIME,25.725596000000003
MIN_COST,24294.0
AVG_COST,25470.05
MIN_ERR ,14.1528
AVG_ERR ,19.678830000000005
MAX_ITERS,150
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
25.70784,172349.0,26221.0,23.2074
25.77498,172349.0,25579.0,20.1908
25.69295,172349.0,25529.0,19.9558
25.90138,172349.0,25165.0,18.2455
26.06625,172349.0,25140.0,18.1280
25.67855,172349.0,24950.0,17.2352
26.10497,172349.0,26532.0,24.6687
25.93199,172349.0,24151.0,13.4809
25.84696,172349.0,25533.0,19.9746
25.80815,172349.0,25242.0,18.6073
26.08147,172349.0,23974.0,12.6492
25.82221,172349.0,24998.0,17.4608
25.43880,172349.0,26723.0,25.5662
25.41754,172349.0,26104.0,22.6576
26.15166,172349.0,24840.0,16.7184
26.80328,172349.0,25063.0,17.7662
25.59603,172349.0,26463.0,24.3445
25.60352,172349.0,25618.0,20.3740
25.72929,172349.0,25191.0,18.3676
25.84577,172349.0,24971.0,17.3339
AVG TIME,25.850179499999996
MIN_COST,23974.0
AVG_COST,25399.35
MIN_ERR ,12.6492
AVG_ERR ,19.346629999999998
MAX_ITERS,150
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,1.0
Time,Initial Cost,Minimized Cost,Error Rate
25.67743,172349.0,26102.0,22.6482
25.69232,172349.0,25671.0,20.6231
25.71434,172349.0,24994.0,17.4420
25.71392,172349.0,24508.0,15.1583
25.68078,172349.0,25836.0,21.3984
25.79854,172349.0,26235.0,23.2732
26.26659,172349.0,26115.0,22.7093
25.79689,172349.0,25210.0,18.4569
25.64810,172349.0,24747.0,16.2814
25.66822,172349.0,26599.0,24.9836
25.55513,172349.0,25930.0,21.8401
25.55889,172349.0,24991.0,17.4279
25.65070,172349.0,25168.0,18.2596
25.65909,172349.0,26019.0,22.2582
25.65642,172349.0,25786.0,21.1634
25.58877,172349.0,24557.0,15.3886
25.55056,172349.0,25585.0,20.2190
25.56575,172349.0,25159.0,18.2173
25.79727,172349.0,24602.0,15.6000
25.78123,172349.0,25403.0,19.3638
AVG TIME,25.701047000000006
MIN_COST,24508.0
AVG_COST,25460.85
MIN_ERR ,15.1583
AVG_ERR ,19.635615
MAX_ITERS,150
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,3.0
