NEIGHBORHOODS,    12
MAX_NO_IMPROV,    10
MAX_NO_IMPROV_LS, 20
NUMBER OF RUNS,   20
Time,Initial Cost,Minimized Cost,Error Rate
49.54954,30170.0,8170.0,8.2927
22.00871,30686.0,8277.0,9.7110
17.13228,31551.0,8550.0,13.3296
10.15704,31571.0,8701.0,15.3311
AVG TIME, 22.70563
MIN_COST, 7943.0
AVG_COST, 8310.9
MIN_ERR, %5.2839
AVG_ERR, %10.1597


NEIGHBORHOODS,    6
MAX_NO_IMPROV,    40
MAX_NO_IMPROV_LS, 20
NUMBER OF RUNS,   20
Time,Initial Cost,Minimized Cost,Error Rate
11.17037,30352.0,8383.0,11.1160
6.40795,29718.0,8877.0,17.6640
7.79958,33178.0,8285.0,9.8170
7.37017,28752.0,7871.0,4.3295
10.01751,27727.0,8273.0,9.6580
5.40533,30753.0,8597.0,13.9526
13.89096,29870.0,7834.0,3.8391
4.75411,31602.0,8744.0,15.9011
7.24891,29226.0,8463.0,12.1764
4.66498,28978.0,8248.0,9.3266
7.28430,30520.0,8911.0,18.1146
8.89887,29824.0,8396.0,11.2883
4.28518,27917.0,8391.0,11.2221
8.24504,30428.0,8463.0,12.1764
6.17899,29704.0,8107.0,7.4577
6.03632,30143.0,8412.0,11.5004
6.45639,31780.0,8717.0,15.5432
5.79952,29279.0,7913.0,4.8862
12.78712,29798.0,8796.0,16.5903
11.81096,30237.0,8007.0,6.1322
AVG TIME, 7.82563
MIN_COST, 7834.0
AVG_COST, 8384.4
MIN_ERR, %3.8391
AVG_ERR, %11.1346


NEIGHBORHOODS,    12
MAX_NO_IMPROV,    40
MAX_NO_IMPROV_LS, 30
NUMBER OF RUNS,   20
Time,Initial Cost,Minimized Cost,Error Rate
19.70533,30190.0,8088.0,7.2058
27.33220,27687.0,8718.0,15.5564
21.92476,31053.0,8018.0,6.2780
20.26810,31977.0,8161.0,8.1734
22.86425,29822.0,8886.0,17.7833
25.60626,28472.0,8226.0,9.0350
16.72628,27081.0,8645.0,14.5888
15.71443,30411.0,8136.0,7.8421
27.75793,29547.0,8896.0,17.9158
13.67750,25730.0,8963.0,18.8039
26.19694,29509.0,8187.0,8.5181
35.46429,29712.0,8184.0,8.4783
16.50610,30977.0,8085.0,7.1661
43.01622,26857.0,7618.0,0.9760
20.01981,30317.0,8886.0,17.7833
18.45434,31667.0,8060.0,6.8347
34.12169,31422.0,7681.0,1.8111
32.80333,30779.0,8873.0,17.6109
24.10409,29197.0,8430.0,11.7390
