Time,Initial Cost,Minimized Cost,Error Rate
AVG TIME,6.4718634999999995
MIN_COST,7775.0
AVG_COST,8327.75
MIN_ERR ,3.057
AVG_ERR ,10.383695
MAX_ITERS,100
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,3.0
Time,Initial Cost,Minimized Cost,Error Rate
6.46960,27849.0,8655.0,14.7214
6.46684,27849.0,8491.0,12.5476
6.49302,27849.0,8493.0,12.5741
6.48904,27849.0,8237.0,9.1808
6.46653,27849.0,8340.0,10.5461
6.48348,27849.0,8109.0,7.4842
6.56651,27849.0,8084.0,7.1528
6.56653,27849.0,8078.0,7.0733
6.56264,27849.0,8545.0,13.2633
6.82462,27849.0,8107.0,7.4577
6.60902,27849.0,8774.0,16.2987
6.46918,27849.0,8100.0,7.3649
6.43684,27849.0,8472.0,12.2957
6.45444,27849.0,8560.0,13.4622
6.46154,27849.0,8563.0,13.5019
6.44517,27849.0,8676.0,14.9997
6.42882,27849.0,8699.0,15.3046
6.45505,27849.0,8612.0,14.1514
6.47291,27849.0,8341.0,10.5593
6.46708,27849.0,8159.0,8.1469
AVG TIME,6.504443
MIN_COST,8078.0
AVG_COST,8404.75
MIN_ERR ,7.0733
AVG_ERR ,11.404329999999998
MAX_ITERS,150
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.44637,27849.0,9074.0,20.2752
6.44555,27849.0,7913.0,4.8862
6.44805,27849.0,8206.0,8.7699
6.46864,27849.0,7825.0,3.7198
6.45235,27849.0,8896.0,17.9158
6.44948,27849.0,8123.0,7.6698
6.45794,27849.0,7973.0,5.6815
6.48925,27849.0,8207.0,8.7832
6.47892,27849.0,8148.0,8.0011
6.46613,27849.0,8302.0,10.0424
6.42770,27849.0,8066.0,6.9142
6.43834,27849.0,8024.0,6.3575
6.43699,27849.0,8264.0,9.5387
6.43163,27849.0,8256.0,9.4327
6.42277,27849.0,8282.0,9.7773
6.43403,27849.0,8009.0,6.1587
6.42931,27849.0,8210.0,8.8229
6.46249,27849.0,8474.0,12.3222
6.48475,27849.0,8512.0,12.8259
6.47744,27849.0,8183.0,8.4650
AVG TIME,6.4524065
MIN_COST,7825.0
AVG_COST,8247.35
MIN_ERR ,3.7198
AVG_ERR ,9.318000000000001
MAX_ITERS,150
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,1.0
Time,Initial Cost,Minimized Cost,Error Rate
6.50706,27849.0,8403.0,11.3811
6.48524,27849.0,8392.0,11.2353
6.45740,27849.0,7983.0,5.8141
6.46901,27849.0,8585.0,13.7935
6.81090,27849.0,7964.0,5.5622
6.67227,27849.0,8253.0,9.3929
6.55626,27849.0,8456.0,12.0836
6.47002,27849.0,8360.0,10.8112
6.56421,27849.0,8431.0,11.7523
6.57492,27849.0,8661.0,14.8009
6.50051,27849.0,8337.0,10.5063
6.51887,27849.0,8421.0,11.6197
6.55369,27849.0,8061.0,6.8479
6.55209,27849.0,8270.0,9.6182
6.56817,27849.0,8598.0,13.9658
6.82514,27849.0,8643.0,14.5623
6.99549,27849.0,8257.0,9.4459
6.60674,27849.0,7933.0,5.1513
6.66414,27849.0,8206.0,8.7699
6.54219,27849.0,8031.0,6.4503
AVG TIME,6.594716000000001
MIN_COST,7933.0
AVG_COST,8312.25
MIN_ERR ,5.1513
AVG_ERR ,10.178234999999999
MAX_ITERS,150
#ANTS,12
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,3.0
